Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,TNF-alpha Signaling via NF-kB,3.8603379308360154e-14,5.71550435317914,176.5258471966695,PPP1R15A;CD83;CEBPD;PTGS2;CXCL3;AREG;CXCL2;ICAM1;SOCS3;ZFP36;DRAM1;CCRL2;OLR1;CCL2;MAP3K8;EDN1;GADD45B;DUSP1;G0S2;FOS;CFLAR;KLF4;KLF2;EIF1;NR4A2;NR4A1;IL6;BMP2;NR4A3;KLF9;FOSB;PTX3;CD69;HBEGF,1.8529622068012873e-12
2,KRAS Signaling Up,1.491510411237772e-08,4.119868637110017,74.24370545074892,PPP1R15A;PIGR;CAB39L;RETN;PTGS2;TFPI;AKAP12;TMEM100;CA2;TSPAN7;IL33;ACE;EMP1;G0S2;ETV1;PPBP;KLF4;GNG11;RBP4;BMP2;SLPI;ALDH1A2;PECAM1;SPARCL1;TLR8;HBEGF,3.5796249869706525e-07
3,Inflammatory Response,3.3428697812176576e-06,3.3874389437879837,42.71113672385962,MSR1;EDN1;CSF3;CSF3R;CALCRL;C5AR1;ICAM4;SGMS2;SLC4A4;SELE;ICAM1;MARCO;IL6;LAMP3;CCRL2;PROK2;OLR1;CCL2;CD69;TLR3;CD55;HBEGF,5.158797792391949e-05
4,UV Response Dn,4.298998160326624e-06,3.903607091909517,48.23737463709668,CITED2;DUSP1;PRKCE;CAV1;CELF2;PTPRM;PTPN21;TFPI;FBLN5;SYNE1;TGFBR2;TGFBR3;DAB2;EFEMP1;GRK5;DLC1;PPARG;MGLL,5.158797792391949e-05
5,Adipogenesis,0.00011549016832442133,2.8642462509865827,25.968187833594833,ITIH5;ANGPT1;GPX3;HSPB8;LPL;CYP4B1;LIFR;SORBS1;RETN;DNAJC15;FABP4;ACADL;ALDH2;CAT;SPARCL1;PPARG;CD36;CD302;MGLL,0.0009239213465953706
6,Myogenesis,0.00011549016832442133,2.8642462509865827,25.968187833594833,CFD;VIPR1;GADD45B;GPX3;DAPK2;TNNC1;HSPB8;AK1;FHL1;SORBS1;CLU;COX7A1;DES;FXYD1;DMD;MYH11;CD36;SGCG;HBEGF,0.0009239213465953706
7,IL-2/STAT5 Signaling,0.0003176870302480292,2.7096255546535732,21.824526861230442,ITIH5;CD83;GADD45B;EMP1;AGER;HOPX;SOCS2;SELP;SHE;IL1RL1;BMP2;MUC1;GLIPR2;CA2;NFKBIZ;CAPN3;MAP3K8;SLC39A8,0.0021784253502722
8,Coagulation,0.0004574850338053973,3.067924959963395,23.59162623428206,CFD;CPB2;SERPINA1;VWF;PROS1;FGG;CLU;THBD;F8;PECAM1;CTSH;OLR1;TIMP3;A2M,0.002744910202832384
9,Estrogen Response Late,0.0009322933459358283,2.527252346924478,17.634820754323865,CLIC3;SERPINA1;ABCA3;TNNC1;CAV1;HSPB8;CACNA2D2;EMP2;FOS;KLF4;AREG;PAPSS2;ZFP36;CA2;RPS6KA2;ALDH3B1;TPSAB1,0.004475008060491976
10,Epithelial Mesenchymal Transition,0.0009322933459358283,2.527252346924478,17.634820754323865,ECM2;GADD45B;CADM1;PCOLCE2;AREG;FBLN5;DCN;TGFBR3;DAB2;IL6;ANPEP;ABI3BP;MGP;TIMP3;PTX3;SLIT2;SGCG,0.004475008060491976
11,Angiogenesis,0.0016382975328907239,5.4,34.636127396589565,THBD;APOH;SLCO2A1;LPL;OLR1;S100A4,0.006907496399461142
12,UV Response Up,0.0017268740998652855,2.639066193853428,16.78826753853987,CDKN2B;RRAD;MAOA;GPX3;RAB27A;FOS;CXCL2;ICAM1;NR4A1;BMP2;IL6;CA2;FOSB;CDO1,0.006907496399461142
13,Apoptosis,0.002060552342632615,2.5848024316109424,15.986437496706275,GADD45B;GPX3;HGF;CAV1;EMP1;NEDD9;CFLAR;CLU;DCN;TGFBR3;BMP2;IL6;TIMP3;CD69,0.007608193265105041
14,Xenobiotic Metabolism,0.002424735892589703,2.362174531510916,14.225092202881285,CYB5A;MAOA;PROS1;PAPSS2;RBP4;ALDH2;CA2;CAT;ATOH8;PDK4;AOX1;CD36;PTGDS;CDO1;FBP1;CES1,0.008313380203164696
