Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,Malaria,1.5001456450331112e-09,10.615839243498819,215.6894756059898,CSF3;HGF;HBB;HBA2;HBA1;ITGAL;SELE;ICAM1;SELP;IL6;PECAM1;CCL2;CD36;ACKR1,4.0803961544900626e-07
2,Complement and coagulation cascades,5.1346577512770324e-08,6.3370647535407265,106.36552514990436,CFD;CPB2;SERPINA1;VWF;PROS1;FGG;C5AR1;C4BPA;TFPI;CLU;THBD;F8;C7;VSIG4;A2M;CD55,6.9831345417367644e-06
3,Cell adhesion molecules,6.352674805404283e-06,3.7827060243608033,45.26626080997187,CADM1;NEGR1;ICAM2;PTPRM;ITGAL;SELE;ICAM1;HLA-E;SELP;CLDN22;CDH5;CLDN5;HLA-DMA;ITGA8;PECAM1;CLDN18;ESAM;JAM2,0.0005759758490233216
4,Pancreatic secretion,1.6913880569979335e-05,4.331108961960026,47.58752239195793,CPA3;CPB2;AMY2A;AMY2B;AMY1A;PRKCB;PLA2G1B;AMY1B;AMY1C;SLC4A4;RAP1A;CA2;GNAQ;CFTR,0.0011501438787585947
5,Rheumatoid arthritis,2.7593243213149563e-05,4.419493626062323,46.39557726535284,ANGPT1;TNFSF13;FOS;CXCL3;ITGAL;CXCL2;CXCL5;ICAM1;HLA-DMA;IL6;ACP5;CCL2;TEK,0.0015010724307953362
6,African trypanosomiasis,4.1069121679046677e-05,7.46961540326883,75.44501297614244,IL6;PRKCB;GNAQ;HBB;HBA2;HBA1;SELE;ICAM1,0.0018618001827834494
7,AGE-RAGE signaling pathway in diabetic complications,6.0043346156432905e-05,4.062420631044251,39.48853151984551,EDN1;PRKCB;PRKCE;AGER;SELE;ICAM1;TGFBR2;THBD;IL6;COL4A4;COL4A3;AGTR1;CCL2,0.0023331128792213928
8,Renin-angiotensin system,0.0001263276639143526,9.535846877320353,85.59978364145087,CPA3;ACE;MME;ANPEP;AGTR1;AGTR2,0.004295140573087989
9,Cytokine-cytokine receptor interaction,0.0001798994138302797,2.42236321643792,20.8883109558989,ACVRL1;CCL14;GDF10;CX3CR1;IL33;CCL23;CSF3;CSF3R;TNFSF13;CXCL17;LIFR;PPBP;CXCL3;CXCL2;CXCL5;BMP5;TGFBR2;IL1RL1;BMP2;IL6;CXCR2;LEPR;ACKR4;CCL2,0.005262867361423598
10,TNF signaling pathway,0.00019348777064057344,3.567774057859044,30.50552514174992,EDN1;FOS;CFLAR;CXCL3;PTGS2;SELE;CXCL2;CXCL5;ICAM1;SOCS3;IL6;CCL2;MAP3K8,0.005262867361423598
11,Tyrosine metabolism,0.00025308824205748365,6.526733824099186,54.05292370203424,AOC3;MAOB;ADH1B;MAOA;ALDH3B1;TYRP1;AOX1,0.0062581819854214136
12,Arachidonic acid metabolism,0.00031026185877273054,4.687459371614302,37.86573700944279,HPGDS;CYP2B6;GPX3;PLA2G1B;ALOX5;GGT1;PTGDS;PTGS2;ALOX15B,0.007032602132181893
13,Salivary secretion,0.0005021039200713009,3.637677414909742,27.634356559110106,GUCY1A2;AMY2A;DMBT1;AMY2B;AMY1A;PRKCB;AMY1B;GNAQ;AMY1C;ADRB1;ADRB2,0.010505558943030296
