Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,E2F Targets,4.360821050403377e-49,25.598639455782312,2850.5111335374086,TOP2A;MCM7;BUB1B;HMGB3;MKI67;CKS1B;CDC20;PTTG1;CHEK1;MYBL2;TK1;KPNA2;DLGAP5;HELLS;NME1;MELK;CCNE1;DEPDC1;TIMELESS;MCM4;BIRC5;KIF2C;ASF1B;MCM2;RNASEH2A;CDCA3;CDCA8;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;RACGAP1;E2F8;GINS1;RRM2;SPAG5;CDKN2A;ATAD2;HMGA1;PAICS;CENPE;KIF18B;UBE2S;UBE2T;KIF4A;ANP32E;CDK1;TRIP13;EZH2;MAD2L1;CDKN3;SPC25,1.6135037886492494e-47
2,G2-M Checkpoint,1.5128486342928606e-43,22.704763939329204,2238.6253476110624,TOP2A;HMGB3;KIF11;MKI67;KIF15;CKS1B;CDC20;PTTG1;EXO1;CHEK1;PBK;NUSAP1;NEK2;MYBL2;KPNA2;KIF23;KNL1;CCNA2;SLC7A5;BIRC5;KIF2C;MCM2;TROAP;TTK;HMMR;CENPA;AURKB;AURKA;CCNB2;CDC45;RACGAP1;BUB1;GINS2;STIL;UBE2C;HMGA1;CDC6;NDC80;TPX2;CENPE;UCK2;CENPF;UBE2S;PRC1;KIF4A;CDK1;EZH2;MAD2L1;CDKN3,2.7987699734417922e-42
3,Mitotic Spindle,2.9457142136327743e-16,9.703594533552808,347.0103429245441,TOP2A;TTK;KIF11;KIF15;AURKA;CCNB2;RACGAP1;NUSAP1;NEK2;KNTC1;ECT2;BUB1;DLGAP5;DST;KIF23;NDC80;ANLN;TPX2;CENPE;CENPF;CTTN;PRC1;KIF4A;CDK1;BIRC5;KIF2C,3.6330475301470884e-15
4,Epithelial Mesenchymal Transition,2.562769204850736e-13,8.305733074002038,240.80411410985894,LRRC15;POSTN;MCM7;DST;MMP1;COL11A1;IGFBP3;COL12A1;IGFBP2;PLOD2;THBS2;PTHLH;COL1A1;GREM1;COL3A1;COL1A2;SLC6A8;FAP;ADAM12;COL5A2;SPP1;PFN2;CTHRC1,2.370561514486931e-12
5,mTORC1 Signaling,8.747151407454899e-10,6.621412862736684,138.1036214260269,ERO1A;EGLN3;RRM2;SRD5A1;SLC2A1;SORD;PLOD2;AK4;SLC7A11;AURKA;MLLT11;SLC7A5;GCLC;PSAT1;MCM4;GAPDH;BUB1;PDK1;MCM2,6.472892041516626e-09
6,Spermatogenesis,4.939466363350849e-08,7.20413749539401,121.19825562084856,RPL39L;RFC4;TTK;SLC2A5;NCAPH;AURKA;CCNB2;SCG5;CDK1;NEK2;KIF2C;BUB1;EZH2;CDKN3,3.04600425739969e-07
7,Glycolysis,1.1549932023520365e-06,5.048009671012866,69.01344068629967,ERO1A;EGLN3;IGFBP3;GPR87;PLOD2;AK4;MIF;HMMR;CENPA;HS6ST2;AURKA;GCLC;DEPDC1;CDK1;KIF20A,6.10496406957505e-06
8,Estrogen Response Late,5.8777008052625835e-06,4.670981439627423,56.258911443166696,TOP2A;GINS2;STIL;RNASEH2A;KRT13;SORD;CDC6;CXCL14;CDC20;SLC7A5;MDK;PERP;NMU;KIF20A,2.7184366224339448e-05
9,Hypoxia,0.0004849641699600834,3.5770700849565205,27.29817979732381,ERO1A;TPD52;IGFBP3;SLC2A1;PKP1;AK4;MIF;SLC2A5;CP;GAPDH;PDK1,0.0017943674288523085
10,Myc Targets V1,0.0004849641699600834,3.5770700849565205,27.29817979732381,CDC20;CCNA2;RFC4;CDC45;MCM7;MCM4;TYMS;KPNA2;NME1;MAD2L1;MCM2,0.0017943674288523085
