Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,Regulation Of Angiogenesis (GO:0045765),2.946915597252177e-10,4.5622941370223975,100.1199639604183,SEMA5A;RAMP2;NPR1;GATA6;ECSCR;PTPRM;GATA2;TSPAN12;AQP1;CDH5;HYAL1;ADAMTS1;APOH;ALOX5;CTSH;HOXA5;SASH1;PRKCB;ANXA3;EMP2;KLF4;DCN;CLDN5;IL6;RGCC;RHOJ;COL4A3;PPARG;TEK,6.771732525310764e-07
2,Inflammatory Response (GO:0006954),4.750426184013163e-10,4.192824730572887,90.00995375745575,CCL14;C5AR1;LY75;NLRC4;CXCL3;ITGAL;AGER;CXCL2;CXCL5;IL1RL1;ADGRE5;HYAL1;CXCR2;CCRL2;PROK2;OLR1;CCL2;AOC3;CCL23;SLC11A1;PPBP;FOS;SELE;BMP2;IL6;AGTR1;AGTR2;ACKR1;CDO1;MGLL;TLR3,6.771732525310764e-07
3,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),2.3424101269812572e-08,10.539763653784734,185.17838147644915,SEMA5A;CDH5;RAMP2;RGCC;ANGPT1;FGG;ECSCR;CCL2;NDNF;TEK;GATA2;ICAM1,2.226070424007855e-05
4,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),4.3715395043910904e-08,11.506138635375924,194.97802598471281,RGCC;CAV2;ALOX5;APOH;CAV1;ATOH8;COL4A3;MMRN2;PTPRM;CCL2;PPARG,3.11581478175475e-05
5,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),8.025138523624158e-08,10.683161824051654,174.54258557224782,CX3CR1;EDN1;CAV1;HBB;CD36;AGTR2;CD47;PTGS2;KLF4;CLU;KLF2,3.9510555543627885e-05
6,Neutrophil Migration (GO:1990266),8.315094116512357e-08,6.604769978005865,107.67497794551294,CCL14;EDN1;CCL23;PLA2G1B;EMP2;PPBP;CXCL3;CXCL2;TREM1;CXCL5;JAML;CXCR2;PECAM1;CCL2;S100A12,3.9510555543627885e-05
7,Negative Regulation Of Cellular Process (GO:0048523),1.3665172540794854e-07,2.5497123109213287,40.300320095592745,KANK2;SEMA5A;ACVRL1;HPGD;NPR1;NOTCH4;FHL1;WFDC1;ADARB1;CLU;RERG;RND1;SOX17;ADAMTS1;HYAL1;ALOX5;RPS6KA2;AGR3;SLIT2;ADAMTS8;SOX7;JAM2;TNS2;CCL23;CDKN2B;MYOCD;ANGPT1;DUSP1;SUSD2;ITGA1;TBX5;SMAD6;ALOX15B;HOPX;BMP5;NR4A1;BMP2;IL6;RGCC;ALDH1A2;COL4A3;MMRN2;SCGB3A1;AGTR2;FBP1,5.5656295591151616e-05
8,One-Carbon Compound Transport (GO:0019755),2.7519828709019245e-07,10.863751763046544,164.1053784373653,SLC14A1;HBG2;CA2;HBG1;CA4;HBB;SLC39A8;HBA1;SLC4A4;CFTR,9.807378956176733e-05
9,Neutrophil Chemotaxis (GO:0030593),1.0776724645662529e-06,6.210228119874758,85.33292479872875,CCL14;EDN1;CCL23;PLA2G1B;PPBP;CXCL3;CXCL2;TREM1;CXCL5;JAML;CXCR2;CCL2;S100A12,0.0003390656395754087
10,Regulation Of Cell Migration (GO:0030334),1.1892867049295287e-06,2.5806008406154666,35.20496140441443,SEMA5A;ACVRL1;ROBO4;TNXB;CITED2;FAM107A;SEMA3G;NEDD9;NEXN;ADARB1;LDB2;CDH5;PARD6B;DACH1;NKX2-1;CTSH;PHACTR1;SLIT2;SCAI;SASH1;EDN1;ACE;LIMCH1;HGF;CAV1;TBX5;ALOX15B;FGR;CLDN5;IGSF10;DAB2;BMP2;MMRN2;PECAM1;MYADM;RECK;HBEGF,0.0003390656395754087
