Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,Mitotic Sister Chromatid Segregation (GO:0000070),6.6882515832472486e-18,15.819416905338915,625.5974954886354,SPAG5;CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF23;KIF11;NCAPH;NDC80;ZWINT;TPX2;CENPE;CCNB1;KIF18B;PRC1;CENPK;NUSAP1;KNTC1;KIF2C;CEP55;DLGAP5,1.0881785325943274e-14
2,Spindle Assembly Checkpoint Signaling (GO:0071173),4.203321136992812e-17,62.40952380952381,2353.3427936533885,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD2L1;SPC25,1.7097008724718262e-14
3,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),4.203321136992812e-17,62.40952380952381,2353.3427936533885,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD2L1;SPC25,1.7097008724718262e-14
4,Mitotic Spindle Checkpoint Signaling (GO:0071174),4.203321136992812e-17,62.40952380952381,2353.3427936533885,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD2L1;SPC25,1.7097008724718262e-14
5,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),1.469312514882263e-16,54.08275132275132,1971.6714402985854,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD2L1;SPC25,4.781142923426884e-14
6,Positive Regulation Of Cell Cycle Process (GO:0090068),5.301210332464386e-15,12.969785316724092,426.3277540085503,STIL;FEN1;SPAG5;NCAPG2;KIF14;CDCA8;NCAPG;KIF23;CDC6;NCAPH;NDC80;AURKB;AURKA;RACGAP1;NUSAP1;BIRC5;ECT2;E2F7;E2F8;MAD2L1,1.4375115351532594e-12
7,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),2.523241586590631e-14,21.378158582631425,669.3639743925331,STIL;CDCA8;TTK;KIF11;AURKB;NDC80;CENPE;CCNB1;KIF4A;NUF2;NUSAP1;CDK1;BIRC5;DLGAP5;SPC25,5.864734373404223e-12
8,Mitotic Spindle Organization (GO:0007052),3.4586639046833296e-14,15.758842443729904,488.45019011391275,STIL;CDCA8;KIF23;TTK;KIF11;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;PRC1;KIF4A;NUF2;BIRC5;DLGAP5;SPC25,7.034057716149722e-12
9,Mitotic Cytokinesis (GO:0000281),1.0064157148442623e-11,17.607867494824017,445.867139125767,CKAP2;CDCA8;KIF23;CENPA;AURKB;ANLN;RACGAP1;KIF4A;NUSAP1;BIRC5;KIF20A;ECT2;CEP55,1.8193759645017942e-09
10,Regulation Of Chromosome Segregation (GO:0051983),4.0385542391674544e-10,29.182808117472366,631.2230937743569,RMI2;CDCA2;NCAPG2;NCAPG;KIF2C;CDC6;MKI67;BUB1;NCAPH,6.318563388778333e-08
11,Regulation Of Cell Cycle Process (GO:0010564),4.2719236187192174e-10,8.798020692757534,189.80662187773163,CDCA2;SPAG5;HMGA2;KIF11;MKI67;AURKB;AURKA;RACGAP1;PRC1;CHEK1;NEK2;KIF2C;KIF20A;ECT2;BUB1;MCM2,6.318563388778333e-08
12,DNA Unwinding Involved In DNA Replication (GO:0006268),5.099707894117175e-10,40.958333333333336,876.3718465485856,GINS1;GINS2;CDC45;RAD51;MCM7;HMGA1;MCM4;MCM2,6.914353953107204e-08
13,Cytoskeleton-Dependent Cytokinesis (GO:0061640),6.753536100147289e-10,11.897852474323063,251.23249118707724,CKAP2;CDCA8;KIF23;CENPA;AURKB;ANLN;RACGAP1;KIF4A;NUSAP1;BIRC5;KIF20A;ECT2;CEP55,8.4523101807228e-08
14,Mitotic Nuclear Division (GO:0140014),2.3542626766841936e-09,17.643306379155437,350.52024263746625,KIF18B;SPAG5;UBE2C;UBE2S;NCAPG2;CENPK;NUSAP1;KNTC1;NDC80;ZWINT,2.735989553546559e-07
15,Sister Chromatid Segregation (GO:0000819),2.8125950230126916e-09,22.17216300940439,436.55122699140117,TOP2A;KIF18B;SPAG5;NCAPG2;CENPK;NUSAP1;KNTC1;NDC80;ZWINT,3.050728068294433e-07
16,Mitotic Spindle Elongation (GO:0000022),3.6933322491305534e-09,91.62111801242236,1778.9831280748874,RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23,3.5347362172561237e-07
17,Mitotic Spindle Midzone Assembly (GO:0051256),3.6933322491305534e-09,91.62111801242236,1778.9831280748874,RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23,3.5347362172561237e-07
18,Mitotic Metaphase Plate Congression (GO:0007080),7.049815770928048e-09,15.433962264150944,289.69955170071677,CDT1;CENPE;CCNB1;CDCA5;NUF2;KIF14;CDCA8;KIF2C;CEP55;NDC80,6.372250144055519e-07
19,Metaphase Plate Congression (GO:0051310),8.642910811862382e-09,15.056757171345298,279.55167969102445,CENPE;CCNB1;CENPF;CDCA5;KIF14;CDCA8;KIF2C;FAM83D;CEP55;NDC80,7.401060995210576e-07
20,Intermediate Filament Organization (GO:0045109),1.3015820893514303e-08,11.941169959599314,216.81701979137455,DSP;KRT17;KRT16;KRT15;KRT14;KRT13;NEFL;PKP1;KRT5;KRT6B;KRT6A,1.0456690320410755e-06
21,DNA Metabolic Process (GO:0006259),1.3496650075514803e-08,4.9714526223328335,90.08681960860288,TOP2A;FEN1;RMI2;RNASEH2A;RFC4;MCM7;HMGB3;MCM10;TYMS;RAD51AP1;CDC45;RAD51;EXO1;UBE2T;POLE2;CHEK1;TIMELESS;CDK1;MCM4;KPNA2;MCM2,1.0456690320410755e-06
22,DNA-templated DNA Replication (GO:0006261),1.5260096423701663e-08,11.734689437615577,211.20122790876965,GINS1;GINS2;RFC4;CDC45;RAD51;MCM7;POLE2;HMGA1;MCM4;MCM10;MCM2,1.1285534946073912e-06
23,Mitotic Spindle Assembly (GO:0090307),3.291167230570527e-08,15.829198387819078,272.72819950619584,TPX2;RACGAP1;PRC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;AURKB,2.3281430800601074e-06
24,Mitotic Cell Cycle Phase Transition (GO:0044772),3.4767547792814165e-08,8.243019112406868,141.57040289212208,UBE2C;FOXM1;AURKA;CCNA2;CCNB2;CCNB1;MELK;CCNE2;CCNE1;UBE2S;EIF4EBP1;CDK1;CDKN3,2.3569500107878603e-06
25,Centromere Complex Assembly (GO:0034508),4.9964302237715343e-08,45.80124223602485,770.0085169308985,CENPE;CENPF;CENPW;HJURP;OIP5;DLGAP5,3.2516767896305145e-06
26,Regulation Of Cytokinesis (GO:0032465),7.467612769913186e-08,9.858409911763362,161.77754544777565,RACGAP1;PRC1;KIF14;KIF23;KIF20A;CDC6;ECT2;AURKB;E2F7;AURKA;E2F8,4.6076222261330135e-06
27,Cellular Glucuronidation (GO:0052695),8.212725541355709e-08,40.710144927536234,664.1858474728691,UGT1A10;UGT1A4;UGT1A9;UGT1A8;UGT1A7;UGT1A6,4.6076222261330135e-06
