Rank,Term,P.value,Z.score,Combined.score,Genes,Adjusted.P.value
1,Cell cycle,1.7311963219914304e-13,11.458560641084913,336.7074385181948,MCM7;CDKN2A;BUB1B;TTK;CDC6;CDC20;CCNA2;CCNB2;CCNB1;CDC45;PTTG1;CCNE2;CCNE1;CHEK1;CDK1;MCM4;BUB1;MCM2;MAD2L1,3.497016570422689e-11
2,Pentose and glucuronate interconversions,3.9907477348611925e-12,29.64463036620491,778.0838731293475,UGT1A10;AKR1B10;UGT1A1;UGT1A5;SORD;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,4.0306552122098045e-10
3,p53 signaling pathway,1.7458901510415015e-10,13.48973544973545,303.095286319033,RRM2;CDKN2A;IGFBP3;SERPINB5;CCNB2;CCNB1;SESN3;CCNE2;CCNE1;PERP;CHEK1;CDK1;GTSE1,1.1755660350346109e-08
4,Ascorbate and aldarate metabolism,8.12761758435299e-10,26.400806090461263,552.5842655030182,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,4.10444688009826e-08
5,Porphyrin and chlorophyll metabolism,1.4566364172636545e-09,18.71450352582428,380.78654622101766,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;CP;UGT1A7;UGT1A6,5.884811125745164e-08
6,Steroid hormone biosynthesis,3.931391611966819e-09,13.617791798107255,263.5624515930817,UGT1A10;UGT1A1;SRD5A1;AKR1C1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,1.3235685093621624e-07
7,Drug metabolism,2.4913672723187345e-08,8.504628237259816,148.89774764950118,UGT1A10;RRM2;UGT1A1;NME1;UCK2;UGT1A5;UGT1A4;UGT1A3;TK1;UGT1A9;UGT1A8;UGT1A7;UGT1A6,7.189374128691206e-07
8,Metabolism of xenobiotics by cytochrome P450,4.4933382322603817e-07,9.34152849247189,136.53110728914447,UGT1A10;UGT1A1;AKR1C1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,1.1345679036457463e-05
9,Retinol metabolism,1.6197383084183692e-06,9.378725891291642,125.04885909796715,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,3.353749280266918e-05
10,DNA replication,1.6602719209242167e-06,14.770759480073048,196.5770832739954,FEN1;RNASEH2A;RFC4;MCM7;POLE2;MCM4;MCM2,3.353749280266918e-05
